codigo_empresa;tipo_colaborador;cadastro_colaborador;data_alteracao;codigo_sindicato;socio_sindicato;possui_banco_horas
276;1;67563;14/06/1983;1;N;S
276;1;67563;01/09/1995;9;N;S
276;1;67563;01/05/2004;9;N;S
276;1;67563;01/02/2005;1;N;S
276;1;67563;01/05/2005;9;N;S
276;1;67563;01/08/2008;76;N;S
8;1;116131;24/07/2006;76;N;S
8;1;116131;09/02/2018;76;N;S
4;1;139106;17/08/1987;1;N;S
4;1;145459;07/12/1987;1;N;S
8;1;233005;01/12/2005;75;N;S
8;1;233005;28/03/2007;75;N;S
282;1;244309;06/01/1993;1;N;S
282;1;244309;15/01/1997;1;N;S
282;1;244309;09/02/2018;1;N;S
282;1;244309;16/03/2018;1;N;S
4;1;251453;04/10/1993;1;N;S
276;1;261564;15/08/1994;9;N;S
282;1;271951;25/05/1995;75;N;S
8;1;287351;02/05/2019;76;N;S
8;1;287351;01/07/2024;76;N;S
4;1;288969;01/10/1996;1;N;S
4;1;296333;14/04/1997;1;N;S
4;1;296333;17/06/1998;1;N;S
8;1;299685;14/11/1995;1;N;S
6;1;303968;06/10/1997;1;N;S
6;1;303968;02/12/1998;39;N;S
6;1;303968;10/07/2001;7;N;S
6;1;303968;16/10/2006;1;N;S
8;1;304913;12/11/1997;1;N;S
8;1;304921;12/11/1997;1;N;S
8;1;307416;02/02/1998;1;N;S
6;1;307416;02/02/1998;1;N;S
6;1;307416;12/08/2004;1;N;S
4;1;311960;03/08/1998;43;N;S
4;1;311960;07/06/2000;6;N;S
4;1;314331;03/12/1998;1;N;S
4;1;314331;06/09/2002;1;N;S
4;1;317241;24/12/1998;53;N;S
282;1;318124;18/02/1999;15;N;S
282;1;318124;16/10/2000;1;N;S
282;1;318124;01/05/2002;10;N;S
282;1;318124;08/09/2005;1;N;S
4;1;322806;17/09/1999;1;N;S
8;1;323144;23/09/1999;1;N;S
4;1;325210;25/11/1999;1;N;S
4;1;325210;01/08/2003;1;N;S
4;1;325953;25/11/1999;14;N;S
4;1;328979;23/04/2001;1;N;S
8;1;331120;17/07/2000;1;N;S
4;1;335339;22/11/2000;1;N;S
4;1;337773;04/04/2001;1;N;S
4;1;347515;02/09/2002;1;N;S
4;1;352268;12/12/2002;1;N;S
8;1;352683;14/01/2003;1;N;S
8;1;352683;17/10/2005;97;N;S
8;1;352683;03/07/2008;140;N;S
6;1;353426;03/04/2003;1;N;S
4;1;353671;05/05/2003;1;N;S
4;1;354759;22/07/2003;1;N;S
282;1;361488;02/02/2004;1;N;S
8;1;362239;15/03/2004;1;N;S
4;1;364967;02/08/2004;1;N;S
282;1;365246;10/08/2004;1;N;S
4;1;365718;06/09/2004;1;N;S
4;1;371564;15/12/2004;1;N;S
4;1;376224;01/12/2005;1;N;S
4;1;376268;01/12/2005;1;N;S
282;1;376560;01/06/2006;1;N;S
282;1;376560;09/02/2018;1;N;S
282;1;376560;16/03/2018;1;N;S
8;1;376862;10/10/2006;97;N;S
8;1;376995;01/12/2006;76;N;S
282;1;377248;15/03/2007;1;N;S
4;1;377735;08/10/2007;1;N;S
4;1;377795;01/11/2007;1;N;S
6;1;378278;15/05/2008;1;N;S
6;1;378278;09/02/2018;1;N;S
8;1;378566;05/09/2008;76;N;S
8;1;378566;01/07/2012;9;N;S
282;1;379038;27/04/2009;1;N;S
4;1;379083;01/06/2009;1;N;S
4;1;379677;23/07/2020;1;N;S
276;1;379762;12/03/2010;5;N;S
276;1;379762;09/02/2018;5;N;S
276;1;379762;02/05/2018;9;N;S
8;1;380580;01/02/2011;140;N;S
8;1;380580;09/02/2018;140;N;S
282;1;381541;13/12/2011;1;N;S
6;1;381701;01/03/2012;1;N;S
6;1;381701;09/02/2018;1;N;S
4;1;382976;22/04/2013;1;N;S
4;1;382976;09/02/2018;1;N;S
1629;1;383056;03/05/2013;1;N;S
6;1;384172;16/04/2014;1;N;S
6;1;384172;09/02/2018;1;N;S
282;1;385066;05/01/2015;2;N;S
282;1;385066;09/02/2018;2;N;S
8;1;385154;05/02/2015;140;N;S
8;1;385172;06/02/2015;76;N;S
8;1;385172;09/02/2018;76;N;S
4;1;385761;10/12/2015;1;N;S
4;1;385761;11/12/2015;1;N;S
4;1;385761;09/02/2018;1;N;S
8;1;385788;14/07/2025;140;N;S
282;1;385883;11/02/2016;1;N;S
282;1;385883;09/02/2018;1;N;S
282;1;385883;01/06/2021;75;N;S
282;1;385960;21/03/2016;1;N;S
282;1;385960;09/02/2018;1;N;S
4;1;386218;01/08/2016;1;N;S
4;1;386218;09/02/2018;1;N;S
4;1;386218;16/03/2018;1;N;S
1629;1;386417;14/11/2016;87;N;S
4;1;387837;04/06/2018;1;N;S
4;1;387942;09/07/2018;1;N;S
4;1;388489;22/01/2019;1;N;S
8;1;388557;06/03/2019;140;N;S
8;1;388562;06/03/2019;140;N;S
282;1;389215;05/10/2019;25;N;S
8;1;389714;09/06/2020;140;N;S
276;1;390016;05/10/2020;9;N;S
282;1;390051;19/10/2020;1;N;S
4;1;390205;20/11/2020;1;N;S
282;1;390597;27/04/2021;1;N;S
4;1;390828;21/06/2021;1;N;S
282;1;391459;04/11/2021;23;N;S
4;1;391785;06/01/2022;1;N;S
282;1;391797;08/01/2022;6;N;S
8;1;391954;14/02/2022;140;N;S
282;1;392212;27/04/2022;41;N;S
8;1;392628;19/07/2022;76;N;S
8;1;392922;10/10/2022;140;N;S
4;1;393398;26/01/2023;1;N;S
282;1;393642;03/04/2023;1;N;S
4;1;397037;02/06/2025;1;N;S
